Tube_id;Surf_area_mm2;Tube_Wt_g;Total_cells;NeuN_Percent;Total_Neurons;Cell_Dens_Wt;Cell_Dens_SA;Neu_Dens_Wt;Neu_Dens_SA
1;33.378;0.03;9320313;0.6;5592188;310677100;279235;186406267;167541
2;25.06;0.031;8617188;0.602;5187547;277973806;343862;167340226;207005
3;26.772;0.036;8906250;0.597;5317031;247395833;332670;147695306;198604
4;28.747;0.037;6679688;0.556;3713907;180532108;232361;100375865;129193
5;10.787;0.0134;3257813;0.517;1684289;243120373;302013;125693209;156141
6;19.286;0.022;4984375;0.488;2432375;226562500;258445;110562500;126121
7;30.119;0.04;9171875;0.439;4026453;229296875;304521;100661325;133685
8;30.827;0.046;8546875;0.354;3025594;185801630;277253;65773783;98148
9;31.763;0.047;7976563;0.399;3182649;169714106;251128;67715936;100200
10;24.937;0.037;8195313;0.38;3114219;221494946;328641;84168081;124883
11;33.002;0.045;6679688;0.468;3126094;148437511;202403;69468756;94724
12;37.506;0.056;7453125;0.353;2630953;133091518;198718;46981304;70148
13;33.903;0.061;7687500;0.363;2790563;126024590;226750;45746934;82310
14;33.026;0.052;7179688;0.347;2491352;138070923;217395;47910615;75436
15;29.942;0.047;5976563;0.289;1727227;127160915;199605;36749511;57686
16;27.814;0.039;5445313;0.312;1698938;139623410;195776;43562513;61082
17;35.702;0.059;6195313;0.338;2094016;105005305;173528;35491797;58653
18;34.256;0.056;6953125;0.343;2384922;124162946;202975;42587893;69621
19;30.472;0.05;5070313;0.34;1723906;101406260;166393;34478120;56573
20;29.018;0.04;5156250;0.315;1624219;128906250;177691;40605475;55973
21;49.185;0.076;8492188;0.333;2827899;111739316;172658;37209197;57495
22;35.153;0.055;6929688;0.364;2522406;125994327;197129;45861927;71755
23;30.439;0.051;5757813;0.348;2003719;112898294;189159;39288608;65827
24;28.432;0.045;5500000;0.382;2101000;122222222;193444;46688889;73896
25;27.698;0.043;5390625;0.364;1962188;125363372;194621;45632279;70842
26;31.813;0.052;6460938;0.377;2435774;124248808;203091;46841808;76565
27;28.592;0.048;5078125;0.353;1792578;105794271;177606;37345375;62695
28;43.163;0.072;5617188;0.303;1702008;78016500;130139;23639000;39432
29;29.793;0.049;5000000;0.307;1535000;102040816;167825;31326531;51522
30;29.951;0.048;4960938;0.272;1349375;103352875;165635;28111979;45053
31;33.066;0.037;5515625;0.339;1869797;149070946;166807;50535054;56547
32;33.555;0.056;6562500;0.297;1949063;117187500;195574;34804696;58086
33;36.046;0.068;6695313;0.311;2082242;98460485;185744;30621206;57766
34;40.915;0.077;8132813;0.326;2651297;105620948;198773;34432429;64800
35;31.262;0.057;6937500;0.421;2920688;121710526;221915;51240140;93426
36;42.171;0.086;6984375;0.404;2821688;81213663;165620;32810326;66911
